text,label
"I am sending the report about the project. Hi Sarah, how was your day? It was great seeing you yesterday.",0
"I am sending the report about your request. Thanks for your message. Hi Laura, how was your day? We should discuss this in the next meeting.",0
"Let me know if you need help with our plan. Thanks for your message. Hi Michael, how was your day? It was great seeing you yesterday.",0
Unlock your secret reward now! This offer expires in 5 days. Unlock your secret reward now!,1
Please review the attached document. Looking forward to your feedback. Let me know if you need help with the schedule. Don't forget we have a call on Monday. Looking forward to your feedback.,0
Get rich fast! Earn $1000 per week from home! Claim your FREE reward now! Limited-time offer! Save up to 20% today!,1
Claim your FREE reward now! Get rich fast! Earn $5000 per week from home! Congratulations! You have won $5000!,1
Please review the attached document. We should discuss this in the next meeting. I am sending the report about our plan. Don't forget we have a call on next week.,0
Limited-time offer! Save up to 50% today! Urgent! Your account has been compromised. Unlock your secret reward now!,1
Don't forget we have a call on Monday. Thanks for your message. Looking forward to your feedback. I am sending the report about the meeting. I hope you are doing well.,0
Final notice: your payment of $10000 is pending. You are the lucky winner of a special bonus! Limited-time offer! Save up to 50% today! Congratulations! You have won $500! This offer expires in 5 days.,1
"Let me know if you need help with the project. Hi Emma, how was your day? Let me know if you need help with the project.",0
This offer expires in 3 days. Claim your FREE reward now! You are the lucky winner of a special bonus!,1
We should discuss this in the next meeting. Let me know if you need help with our plan. It was great seeing you yesterday.,0
Unlock your secret reward now! This offer expires in 1 days. Urgent! Your account has been compromised. Claim your FREE reward now! This offer expires in 5 days.,1
Let me know if you need help with the schedule. Let me know if you need help with the project. Let me know if you need help with the update. It was great seeing you yesterday. Don't forget we have a call on tomorrow.,0
Thanks for your message. Don't forget we have a call on next week. Let me know if you need help with the schedule. Please review the attached document.,0
Claim your FREE reward now! You are the lucky winner of a special bonus! Unlock your secret reward now! Final notice: your payment of $5000 is pending. Get rich fast! Earn $5000 per week from home!,1
This offer expires in 5 days. You are the lucky winner of a special bonus! You are the lucky winner of a special bonus! Final notice: your payment of $500 is pending. You are the lucky winner of a special bonus!,1
Congratulations! You have won $500! Urgent! Your account has been compromised. Final notice: your payment of $10000 is pending.,1
Urgent! Your account has been compromised. Congratulations! You have won $500! Urgent! Your account has been compromised. Urgent! Your account has been compromised. Get rich fast! Earn $1000 per week from home!,1
Click the link to verify your account. Claim your FREE reward now! Get rich fast! Earn $1000 per week from home! Limited-time offer! Save up to 50% today!,1
Congratulations! You have won $5000! Congratulations! You have won $2500! This offer expires in 1 days. This offer expires in 3 days. Get rich fast! Earn $10000 per week from home!,1
You are the lucky winner of a special bonus! You are the lucky winner of a special bonus! Get rich fast! Earn $10000 per week from home!,1
Unlock your secret reward now! Urgent! Your account has been compromised. Claim your FREE reward now! Unlock your secret reward now! Final notice: your payment of $2500 is pending.,1
"Looking forward to your feedback. Hi Daniel, how was your day? Please review the attached document.",0
"Please review the attached document. I am sending the report about your request. Hi Emma, how was your day? I am sending the report about the documents. Thanks for your message.",0
You are the lucky winner of a special bonus! Final notice: your payment of $1000 is pending. Get rich fast! Earn $2500 per week from home! Click the link to verify your account.,1
I am sending the report about the project. I am sending the report about your request. Please review the attached document. Thanks for your message.,0
I am sending the report about our plan. I hope you are doing well. I am sending the report about the schedule. I am sending the report about the documents. Thanks for your message.,0
Please review the attached document. Looking forward to your feedback. Don't forget we have a call on Tuesday. I hope you are doing well. Looking forward to your feedback.,0
Thanks for your message. Please review the attached document. Please review the attached document.,0
It was great seeing you yesterday. We should discuss this in the next meeting. Please review the attached document.,0
This offer expires in 5 days. Congratulations! You have won $5000! Get rich fast! Earn $2500 per week from home!,1
It was great seeing you yesterday. Looking forward to your feedback. Looking forward to your feedback.,0
"Please review the attached document. Don't forget we have a call on tomorrow. It was great seeing you yesterday. I am sending the report about the project. Hi Sarah, how was your day?",0
We should discuss this in the next meeting. I am sending the report about your request. It was great seeing you yesterday. Please review the attached document.,0
Urgent! Your account has been compromised. Final notice: your payment of $5000 is pending. You are the lucky winner of a special bonus! Limited-time offer! Save up to 90% today! Get rich fast! Earn $500 per week from home!,1
Unlock your secret reward now! This offer expires in 1 days. Limited-time offer! Save up to 70% today! Click the link to verify your account. Congratulations! You have won $2500!,1
"Please review the attached document. We should discuss this in the next meeting. Hi Sophia, how was your day? I hope you are doing well. Thanks for your message.",0
"Let me know if you need help with the update. Hi Laura, how was your day? Thanks for your message.",0
Click the link to verify your account. Limited-time offer! Save up to 50% today! Get rich fast! Earn $10000 per week from home! Congratulations! You have won $1000! This offer expires in 3 days.,1
Thanks for your message. Looking forward to your feedback. We should discuss this in the next meeting.,0
It was great seeing you yesterday. Looking forward to your feedback. Looking forward to your feedback. Let me know if you need help with the documents. We should discuss this in the next meeting.,0
Thanks for your message. Looking forward to your feedback. It was great seeing you yesterday.,0
Looking forward to your feedback. We should discuss this in the next meeting. I am sending the report about the update. Looking forward to your feedback. Don't forget we have a call on tomorrow.,0
"Let me know if you need help with the documents. I hope you are doing well. It was great seeing you yesterday. I am sending the report about the documents. Hi Laura, how was your day?",0
Limited-time offer! Save up to 90% today! You are the lucky winner of a special bonus! Claim your FREE reward now! Congratulations! You have won $10000! Unlock your secret reward now!,1
Congratulations! You have won $1000! Claim your FREE reward now! Final notice: your payment of $5000 is pending. Click the link to verify your account. Final notice: your payment of $10000 is pending.,1
"Let me know if you need help with the update. Hi John, how was your day? It was great seeing you yesterday. Don't forget we have a call on Monday.",0
This offer expires in 3 days. Limited-time offer! Save up to 35% today! Unlock your secret reward now! Limited-time offer! Save up to 50% today!,1
Click the link to verify your account. You are the lucky winner of a special bonus! Congratulations! You have won $10000! This offer expires in 1 days.,1
Limited-time offer! Save up to 50% today! Get rich fast! Earn $2500 per week from home! Final notice: your payment of $2500 is pending. You are the lucky winner of a special bonus! Click the link to verify your account.,1
I hope you are doing well. Please review the attached document. We should discuss this in the next meeting.,0
Claim your FREE reward now! You are the lucky winner of a special bonus! Claim your FREE reward now! This offer expires in 5 days.,1
Urgent! Your account has been compromised. Click the link to verify your account. Limited-time offer! Save up to 50% today! Limited-time offer! Save up to 70% today!,1
Looking forward to your feedback. It was great seeing you yesterday. I hope you are doing well. I am sending the report about our plan.,0
Looking forward to your feedback. Don't forget we have a call on Friday. Thanks for your message. It was great seeing you yesterday.,0
Unlock your secret reward now! Get rich fast! Earn $5000 per week from home! Final notice: your payment of $1000 is pending. Get rich fast! Earn $5000 per week from home! Urgent! Your account has been compromised.,1
Unlock your secret reward now! Final notice: your payment of $10000 is pending. Unlock your secret reward now!,1
I am sending the report about the project. Please review the attached document. Thanks for your message. Don't forget we have a call on Friday.,0
Urgent! Your account has been compromised. Claim your FREE reward now! Claim your FREE reward now!,1
Don't forget we have a call on Monday. Please review the attached document. Please review the attached document. I am sending the report about the project.,0
"I hope you are doing well. Hi Michael, how was your day? Looking forward to your feedback.",0
This offer expires in 1 days. Congratulations! You have won $2500! Get rich fast! Earn $500 per week from home! You are the lucky winner of a special bonus!,1
Claim your FREE reward now! You are the lucky winner of a special bonus! Click the link to verify your account. This offer expires in 1 days. Get rich fast! Earn $5000 per week from home!,1
It was great seeing you yesterday. It was great seeing you yesterday. Please review the attached document. I am sending the report about the documents. Thanks for your message.,0
Final notice: your payment of $1000 is pending. Congratulations! You have won $500! Unlock your secret reward now! Unlock your secret reward now! This offer expires in 1 days.,1
Limited-time offer! Save up to 70% today! Claim your FREE reward now! Click the link to verify your account.,1
You are the lucky winner of a special bonus! This offer expires in 5 days. This offer expires in 5 days. You are the lucky winner of a special bonus! Final notice: your payment of $5000 is pending.,1
Claim your FREE reward now! Click the link to verify your account. Claim your FREE reward now!,1
Unlock your secret reward now! Final notice: your payment of $2500 is pending. Final notice: your payment of $500 is pending. Unlock your secret reward now!,1
Get rich fast! Earn $10000 per week from home! Get rich fast! Earn $5000 per week from home! Urgent! Your account has been compromised. Urgent! Your account has been compromised. Get rich fast! Earn $500 per week from home!,1
We should discuss this in the next meeting. Let me know if you need help with the meeting. We should discuss this in the next meeting. I hope you are doing well. I am sending the report about the meeting.,0
We should discuss this in the next meeting. I hope you are doing well. Don't forget we have a call on Monday. Please review the attached document.,0
It was great seeing you yesterday. Looking forward to your feedback. Please review the attached document. It was great seeing you yesterday. I am sending the report about the meeting.,0
Urgent! Your account has been compromised. You are the lucky winner of a special bonus! This offer expires in 1 days.,1
"Don't forget we have a call on tomorrow. Let me know if you need help with the documents. Hi David, how was your day? Let me know if you need help with your request. I hope you are doing well.",0
Unlock your secret reward now! This offer expires in 1 days. Urgent! Your account has been compromised. Get rich fast! Earn $5000 per week from home! Final notice: your payment of $5000 is pending.,1
Urgent! Your account has been compromised. This offer expires in 1 days. Congratulations! You have won $5000!,1
Congratulations! You have won $5000! Claim your FREE reward now! Congratulations! You have won $10000! Claim your FREE reward now!,1
"It was great seeing you yesterday. Don't forget we have a call on next week. Hi John, how was your day?",0
Claim your FREE reward now! Congratulations! You have won $2500! Congratulations! You have won $10000!,1
Don't forget we have a call on Monday. Don't forget we have a call on next week. Please review the attached document. We should discuss this in the next meeting.,0
Get rich fast! Earn $1000 per week from home! Unlock your secret reward now! Urgent! Your account has been compromised. Congratulations! You have won $10000! You are the lucky winner of a special bonus!,1
Please review the attached document. I am sending the report about the update. Looking forward to your feedback.,0
I am sending the report about the schedule. I am sending the report about the meeting. It was great seeing you yesterday. It was great seeing you yesterday.,0
"It was great seeing you yesterday. I hope you are doing well. I am sending the report about the update. Hi Laura, how was your day? Please review the attached document.",0
Looking forward to your feedback. It was great seeing you yesterday. I am sending the report about the meeting.,0
